id,name,oao,address,avcr_note,avcr_date,mkcr_note,mkcr_date
22891161,ARCHA 13 o.p.s.,ARCHA 13,Rumjancevova 637/3a<br> 460 01 Liberec 1,Liberecký kraj,25.4.2019 (na dobu 3 let),MK 25115/2019 OPP,26.3.2019 ( na dobu 3 let)
45245932,"Archaia, o. s.",Archaia,Truhlářská 20/1119<br> 11000 Praha 1 – Nové Město,Česká republika,12/9/1999,14.854/92,1/15/1993
26268469,"ARCHAIA Brno, z.ú.",Archaia Brno,Česká 6/156<br> 60200 Brno,"kraj Vysočina, Jihomoravský, Olomoucký, Zlínský, Moravskoslezský, Jihočeský, Pardubický",9.12.2019 (na 5 let),č.j. 3573/2/2001-OPP/P,27.9.2001
26108470,"ARCHAIA Jih,o.p.s.",Archaia Jih,Třída Míru 144<br> 38101 Český Krumlov-Latrán,kraj Jihočeský a Plzeňský,10/22/2007,čj. 2747/2007,5/15/2007
27713725,Archaia Olomouc z.ú.,Archaia Olomouc,Panská 175/4<br> 77900 Olomouc,okres Olomouc,19.7.2007,čj. 3031/2007,13.6.2007
26701227,"ARCHAIA Praha, o.p.s.",Archaia Praha,Truhlářská 20/1119<br> 11000 Praha 1 – Nové Město,Hlavní město Praha,11/25/2005,čj. 3573/1/2001,9/27/2001
27448657,"Archeo Pro, o.p.s.",Archeo Pro,Zlatnická 1122/11<br> 11000 Praha 1,Hlavní město Praha,10/24/2006,čj. 7059/2006,9/25/2006
60165171,ARCHEO Sever o.p.s.,ARCHEO Sever,K vápence  448<br> 415 03 Teplice,"Karlovarský, Ústecký kraj",11.5.2020 (na 3 roky),čj MK 13685/2020 OPP (na 3 roky),2/24/2020
28184653,"ARCHEOCENTRUM – Institut pro archeologii a památkovou péči středních Čech, o.p.s.",Archeocentrum,Jeremiášova 870/24<br> 15534 Praha 13 – Stodůlky,kraj Středočeský,11.11.2013 (na 5 let),čj. 18408/2007,4/3/2008
26387140,"Archeologická společnost, o.p.s.",Archeologická společnost,Chebská 38/169<br> 36006 Karlovy Vary,kraj Karlovarský,6/8/2007,čj. 15955/2005,5/11/2007
75008271,Archeologické centrum Olomouc,Archeologické centrum Olomouc,U Hradiska 42/6<br> 77900 Olomouc,kraj Olomoucký,28.4.2003,čj. 20942/2002,4.3.2003
68081758,"Archeologický ústav AV ČR Brno, v.v.i.",Archeologický ústav Brno,Královopolská  62/147<br> 61200 Brno,Česká republika,ze zákona,oprávnění v plném rozsahu přímo ze zákona o státní památkové péči,ze zákona
67985912,"Archeologický ústav AV ČR Praha, v.v.i.",Archeologický ústav Praha,Letenská 123/4<br> 11801 Praha 1,Česká republika,ze zákona,oprávnění v plném rozsahu přímo ze zákona o státní památkové péči,ze zákona
63914344,Archeos,Archeos,Nebahovská 1016<br> 38301 Prachatice,"okres Domažlice, Cheb, Karlovy Vary, Klatovy, Plzeň, Rokycany, Sokolov, Tachov, České Budějovice,Český Krumlov, Jindřichův Hradec, Pelhřimov, Písek, Prachatice,Strakonice, Tábor, Hlavní město Praha","dohodu ze dne 10.2.2000 MK neeviduje, pouze dodatek ze dne 24.2.2004, kterým se rozšiřuje územní působnost",čj. 9986/97,10/3/1997
28458681,"Česká společnost archeologická, o.p.s.",Česká společnost archeologická,Sad míru  791<br> 28522 Zruč nad Sázavou,kraj  Středočeský a Hlavní města,5.5.2019 (na 5 let),č.j. MK 24534/2019 OPP (na 5 let),22. 3..2019
60076658,Jihočeská univerzita v Českých Budějovicích,JČU České Budějovice,Branišovská 31a<br> 37005 České Budějovice,"kraj Středočeský, Jihočeský, Plzeňský, Karlovarský, Ústecký, Liberecký, Pardubický, Královéhradecký kraj a Hlavní město Praha",5.6.2019 ( na 5 let),čj. 5223/2008,8/18/2008
27573486,"Labrys, o.p.s.",Labrys,Mezi školami  2331<br> 15800 Praha 13,"hlavní město Praha, Královehradecký a Pardubický, Středočeský, Liberecký, Ústecký, Karlovarský, Plzeňský, Jihočeský kraj, a kraj Vysočina v hranicích platných ke dni podpisu dohody",12/12/2019,čj. 7950/2006,9/29/2006
94862,Moravské zemské muzeum v Brně,Moravské zemské muzeum,Zelný trh 6<br> 65937  Brno,území Moravy v jejích historických hranicích,2.2.2001,čj. 13387/90-PP,23.11.1990
